iter	RMSE
0	0.5648605136
1	0.56258607
2	0.5609471232
3	0.5585406472
4	0.556840496
5	0.5550530945
6	0.5537402684
7	0.5514549832
8	0.5488710458
9	0.5471780718
10	0.5456707046
11	0.5437404614
12	0.5420961208
13	0.5401709741
14	0.5381210491
15	0.536077459
16	0.5343658827
17	0.5327326127
18	0.5314214342
19	0.530167473
20	0.5288314883
21	0.527202801
22	0.5250913377
23	0.5239089689
24	0.522805216
25	0.5209961552
26	0.5199724117
27	0.5182156207
28	0.5161969003
29	0.5143686237
30	0.512845285
31	0.5111588162
32	0.5096897935
33	0.5086802311
34	0.5073941571
35	0.5063235272
36	0.5048413444
37	0.5041494838
38	0.5031597557
39	0.5015942707
40	0.5000421677
41	0.4987393233
42	0.497735801
43	0.4964216829
44	0.4953853158
45	0.4938355058
46	0.4927503855
47	0.4919176709
48	0.4907238493
49	0.489616329
50	0.4883530677
51	0.4870790192
52	0.4860248545
53	0.4844768828
54	0.4835351955
55	0.4822582156
56	0.4809868221
57	0.479902014
58	0.4787330423
59	0.477398283
60	0.4759340261
61	0.4751821761
62	0.4743968527
63	0.4733141604
64	0.4723212155
65	0.4715141144
66	0.4704281916
67	0.4693756848
68	0.4682471907
69	0.4669439518
70	0.4663416177
71	0.4656646059
72	0.4651296985
73	0.4637682216
74	0.4628883857
75	0.4615704868
76	0.460335015
77	0.4595364393
78	0.4581103016
79	0.4567014588
80	0.4562896078
81	0.4556272548
82	0.4547146077
83	0.453701275
84	0.4527569365
85	0.45173379
86	0.451002991
87	0.4503001927
88	0.4495995711
89	0.4478291003
90	0.4470447714
91	0.4458985666
92	0.4449989236
93	0.4436412905
94	0.4426168594
95	0.4419466183
96	0.4411970117
97	0.4405687895
98	0.4396177308
99	0.4385213143
100	0.4376158749
101	0.4366990577
102	0.435796961
103	0.4348500371
104	0.4345852039
105	0.4339631392
106	0.4334130602
107	0.4326941991
108	0.4318693961
109	0.4310419578
110	0.4302095583
111	0.4296276013
112	0.428809326
113	0.4279683437
114	0.4271882654
115	0.4265214619
116	0.4258320598
117	0.4250097137
118	0.4241536502
119	0.4231608348
120	0.4223873829
121	0.4212074561
122	0.42051777
123	0.4196428189
124	0.4190401728
125	0.4185481446
126	0.4175733931
127	0.4169724169
128	0.4166586263
129	0.4158560625
130	0.4152373159
131	0.414757248
132	0.4139595114
133	0.4128776131
134	0.4120742881
135	0.4114773585
136	0.4107829613
137	0.4100201119
138	0.4094597899
139	0.4089589852
140	0.4082535824
141	0.4078234509
142	0.406924094
143	0.4062574034
144	0.4061726844
145	0.4051716115
146	0.4043853386
147	0.4037133184
148	0.4033202372
149	0.4027705107
150	0.4021677777
151	0.4012749481
152	0.4005984242
153	0.4000381274
154	0.3997012621
155	0.3992569988
156	0.3989458428
157	0.3980875303
158	0.3978607683
159	0.3973414312
160	0.396544198
161	0.3962407386
162	0.3951779255
163	0.394288455
164	0.3936251753
165	0.3929736858
166	0.3923595995
167	0.391571608
168	0.3911821496
169	0.3905419314
170	0.3898804176
171	0.3891164925
172	0.3882443609
173	0.3878885826
174	0.387090508
175	0.3862389686
176	0.3856019865
177	0.3852041639
178	0.3848387067
179	0.3843818424
180	0.3836179276
181	0.3831628122
182	0.3822669315
183	0.3812868152
184	0.3809645848
185	0.3805713703
186	0.3800622675
187	0.3793745831
188	0.3787277399
189	0.3781360549
190	0.3775687151
191	0.3770127002
192	0.3764124809
193	0.3759476025
194	0.3755461802
195	0.3749555473
196	0.3744742359
197	0.3738224488
198	0.3728280606
199	0.3720248289
200	0.3715653582
201	0.3712074222
202	0.3707080002
203	0.3701107988
204	0.3692770423
205	0.3687452014
206	0.3680449476
207	0.3675903268
208	0.3669478607
209	0.3665550126
210	0.3659052184
211	0.3655003135
212	0.365072079
213	0.3646065239
214	0.364175073
215	0.3637415758
216	0.3630272864
217	0.3625596713
218	0.3616976836
219	0.3614356381
220	0.3607342626
221	0.3603785154
222	0.3595613511
223	0.3587939096
224	0.3581442887
225	0.3576775722
226	0.3572663952
227	0.3567584578
228	0.3561260382
229	0.3559601252
230	0.3556816376
231	0.3553428781
232	0.3545524736
233	0.3539744564
234	0.3535379475
235	0.3529485589
236	0.3524249567
237	0.3518919823
238	0.3516176475
239	0.3511969227
240	0.350799493
241	0.3502712597
242	0.3495890344
243	0.3490644044
244	0.3485605109
245	0.3480752111
246	0.3478267898
247	0.3473089104
248	0.3468354391
249	0.3462822625
250	0.3459795897
251	0.3455107267
252	0.3447830305
253	0.3443004653
254	0.3437449096
255	0.3432878925
256	0.342766105
257	0.3423230058
258	0.3419616679
259	0.3418695142
260	0.3412468677
261	0.3407024734
262	0.3402466766
263	0.3399562954
264	0.339687894
265	0.3389984429
266	0.3383701135
267	0.3377738977
268	0.3373186234
269	0.3366319933
270	0.3361781536
271	0.3358246524
272	0.335264232
273	0.3350009404
274	0.3344865244
275	0.3340365025
276	0.3332447315
277	0.3326342618
278	0.3323173595
279	0.3314792738
280	0.3310393884
281	0.3305353929
282	0.330226167
283	0.3293123792
284	0.3289573966
285	0.3284174293
286	0.327936473
287	0.3277468626
288	0.3274096388
289	0.3268928256
290	0.3266762108
291	0.3262755053
292	0.3260139447
293	0.3255187025
294	0.3251253135
295	0.3248168807
296	0.3244358573
297	0.3237848065
298	0.3235688083
299	0.3231873436
300	0.3227417631
301	0.3223315809
302	0.3219802722
303	0.3215492429
304	0.3212658567
305	0.3208353357
306	0.3204116594
307	0.3201087733
308	0.3195909684
309	0.3192469781
310	0.3189782851
311	0.3183459641
312	0.3178891315
313	0.3173472266
314	0.3168337194
315	0.3165287443
316	0.3159778213
317	0.3154418215
318	0.3150093544
319	0.314605564
320	0.3138243544
321	0.3134958163
322	0.3130139596
323	0.3126618933
324	0.3121337378
325	0.3117609738
326	0.3111340549
327	0.3108070068
328	0.3104863914
329	0.3101142355
330	0.309764964
331	0.3092387618
332	0.3089911528
333	0.3089467289
334	0.3084299913
335	0.3081143372
336	0.3077400999
337	0.3073096495
338	0.3065212391
339	0.3058564128
340	0.3056854071
341	0.3053063288
342	0.3049314717
343	0.3045762657
344	0.3043450207
345	0.3040829923
346	0.3037532808
347	0.3031182213
348	0.3028014059
349	0.3023027889
350	0.3021224536
351	0.3018544344
352	0.3016780438
353	0.3011784164
354	0.3008424393
355	0.3003307013
356	0.2999875324
357	0.2993295486
358	0.2990168665
359	0.2988101763
360	0.2984043285
361	0.2981683203
362	0.2979083946
363	0.2975709293
364	0.2971599126
365	0.2967938706
366	0.2965525837
367	0.2963843239
368	0.2960464276
369	0.2957109761
370	0.2953579256
371	0.2948831535
372	0.294579228
373	0.2944292462
374	0.2941395439
375	0.2937909131
376	0.2935113235
377	0.2932026752
378	0.292722997
379	0.2924755373
380	0.2919176048
381	0.291483402
382	0.2913007711
383	0.2910415626
384	0.2906978264
385	0.2904054368
386	0.2900466707
387	0.2898144206
388	0.2896889204
389	0.2893908244
390	0.2890778983
391	0.2886575248
392	0.2881360201
393	0.2875812167
394	0.2873599193
395	0.2868247132
396	0.2866419218
397	0.2861842378
398	0.2858252299
399	0.2852070937
400	0.2849164472
401	0.2846891532
402	0.2843496297
403	0.2840086378
404	0.2837451318
405	0.2832415806
406	0.2828801198
407	0.2825329861
408	0.2823004928
409	0.2819346345
410	0.28175641
411	0.2813733711
412	0.2811606386
413	0.2807716773
414	0.2803633862
415	0.2800117521
416	0.2796750785
417	0.2792095271
418	0.2789530644
419	0.2784225145
420	0.2780006206
421	0.2775475402
422	0.2772908849
423	0.2767731113
424	0.276399414
425	0.2757073018
426	0.2753237164
427	0.2751559031
428	0.2746221908
429	0.2743518485
430	0.2740656301
431	0.2735104788
432	0.2731067914
433	0.2726210516
434	0.2724631326
435	0.2721945579
436	0.2718687498
437	0.2714213629
438	0.2711480831
439	0.2708387112
440	0.27066441
441	0.2702639534
442	0.2699013455
443	0.2695396383
444	0.2692343616
445	0.2689341379
446	0.2685341184
447	0.2680720125
448	0.2678292514
449	0.2674367687
450	0.2670629658
451	0.2669026526
452	0.2663694822
453	0.2661769869
454	0.2658732719
455	0.2656505456
456	0.2652691581
457	0.2651142448
458	0.2648852275
459	0.2646843624
460	0.2643372869
461	0.2640950377
462	0.263673988
463	0.2632571219
464	0.2629582695
465	0.2626067384
466	0.2623894591
467	0.2619085791
468	0.2615802999
469	0.261431943
470	0.2611665341
471	0.2608129785
472	0.2604521249
473	0.2602090928
474	0.2599722042
475	0.2596059342
476	0.2593081119
477	0.2590621551
478	0.2586333909
479	0.2583653124
480	0.2581991084
481	0.257873263
482	0.2574552201
483	0.2570427892
484	0.2567497662
485	0.2564085972
486	0.2560264348
487	0.2556600771
488	0.2553994822
489	0.2550278902
490	0.2547953838
491	0.2544272579
492	0.2541299752
493	0.2538906718
494	0.2535705968
495	0.2533272692
496	0.2529827404
497	0.2526320814
498	0.2524162562
499	0.2521140357
500	0.251745619
501	0.2514579234
502	0.251081772
503	0.2508060498
504	0.2503928506
505	0.2501841479
506	0.2499059863
507	0.2497971158
508	0.2494949817
509	0.2492547385
510	0.2490499251
511	0.2487693788
512	0.2484285022
513	0.2480339718
514	0.2477110146
515	0.2473207936
516	0.2470651464
517	0.2467616023
518	0.246497418
519	0.2462222482
520	0.2458760326
521	0.2456166295
522	0.2451884485
523	0.2450033923
524	0.2445641844
525	0.2443011113
526	0.2440189152
527	0.2438070216
528	0.2436526594
529	0.2435362499
530	0.2432852551
531	0.2428518602
532	0.2425625609
533	0.2422795027
534	0.2420211086
535	0.2417288944
536	0.2413535546
537	0.2410321482
538	0.2406597053
539	0.24032299
540	0.240105828
541	0.2398356813
542	0.2395322132
543	0.2393903626
544	0.2391666244
545	0.2389127988
546	0.2387036311
547	0.2383313937
548	0.2381175768
549	0.2377890391
550	0.2374914845
551	0.2373074355
552	0.2370353713
553	0.2368292473
554	0.2365062214
555	0.2363032982
556	0.2360626976
557	0.2357712451
558	0.2355421432
559	0.235276403
560	0.2350917349
561	0.2348459232
562	0.2345574523
563	0.2341899765
564	0.2338460228
565	0.2335423212
566	0.2332623681
567	0.2329413415
568	0.232772688
569	0.2324003721
570	0.2320314149
571	0.2317941946
572	0.2315194386
573	0.2313456409
574	0.2310851335
575	0.2307222719
576	0.2305493064
577	0.2304788004
578	0.230148907
579	0.229979686
580	0.2296112872
581	0.2293004002
582	0.2291282665
583	0.2288960426
584	0.2286632706
585	0.2285408175
586	0.2281736113
587	0.2279494142
588	0.2277420177
589	0.2275911308
590	0.2273644946
591	0.2270439241
592	0.226966977
593	0.2267341086
594	0.2264202467
595	0.2260854484
596	0.22592666
597	0.2257148496
598	0.2253274094
599	0.225131527
600	0.2248644236
601	0.224575877
602	0.2244052271
603	0.224070052
604	0.2235418481
605	0.223215361
606	0.223077558
607	0.2227686702
608	0.2226582929
609	0.2223395192
610	0.2222181717
611	0.221966237
612	0.2216883706
613	0.2214900555
614	0.2212835984
615	0.2210865488
616	0.2208910475
617	0.2206310836
618	0.2205433271
619	0.2204071603
620	0.2202143384
621	0.2200669239
622	0.2199069401
623	0.2196477976
624	0.2192679422
625	0.2191143471
626	0.2189278395
627	0.2187037089
628	0.2185475371
629	0.218140564
630	0.218021468
631	0.2177624167
632	0.2176761742
633	0.2175360144
634	0.2172890433
635	0.2171058851
636	0.2167955234
637	0.216522863
638	0.21630764
639	0.21588193
640	0.2157011626
641	0.2154976615
642	0.2153349648
643	0.2151472004
644	0.2149126138
645	0.2147953677
646	0.2146007278
647	0.2144017456
648	0.2139170268
649	0.2138434291
650	0.2136496245
651	0.2133714364
652	0.2131740315
653	0.2130609375
654	0.2129621177
655	0.2127913916
656	0.2125603747
657	0.2124398546
658	0.2123182276
659	0.2121149864
660	0.2118559101
661	0.211609988
662	0.2113765623
663	0.2111385291
664	0.2109541388
665	0.2107809616
666	0.2106146542
667	0.210419024
668	0.2101814397
669	0.2100287104
670	0.2097597549
671	0.2095953638
672	0.209507803
673	0.2093592815
674	0.2090890811
675	0.2090089364
676	0.2087417763
677	0.2086019343
678	0.2084596256
679	0.2082889516
680	0.2082513583
681	0.2080963586
682	0.207974651
683	0.2077884936
684	0.2076941591
685	0.2073461831
686	0.2071912504
687	0.2069980457
688	0.2068205859
689	0.2065411606
690	0.2063253457
691	0.2061945723
692	0.2059483275
693	0.2057354579
694	0.2056228659
695	0.2054576997
696	0.2052234782
697	0.20506185
698	0.2048775147
699	0.2046763613
700	0.2045127013
701	0.2044380798
702	0.2043330229
703	0.2042085432
704	0.204027192
705	0.2039179767
706	0.2038008045
707	0.2036490704
708	0.2034996045
709	0.2033708908
710	0.203145854
711	0.2031039784
712	0.2029958793
713	0.2028692678
714	0.2027262748
715	0.2024964268
716	0.202280853
717	0.2021287315
718	0.2019208446
719	0.2015829297
720	0.2013962748
