iter	Passed	Remaining
0	1	5956
1	2	5743
2	3	6524
3	5	6821
4	6	6830
5	8	7098
6	9	7008
7	10	6817
8	12	6832
9	13	6833
10	15	6808
11	16	6653
12	17	6555
13	18	6496
14	19	6462
15	20	6444
16	21	6427
17	23	6538
18	24	6532
19	26	6476
20	27	6421
21	28	6408
22	29	6375
23	30	6376
24	32	6379
25	33	6369
26	34	6361
27	35	6302
28	36	6306
29	38	6345
30	39	6403
31	41	6369
32	42	6349
33	43	6319
34	44	6336
35	45	6335
36	47	6332
37	48	6342
38	49	6335
39	51	6441
40	52	6406
41	54	6383
42	55	6373
43	56	6365
44	57	6348
45	58	6337
46	60	6323
47	61	6330
48	62	6328
49	64	6340
50	65	6343
51	66	6342
52	67	6341
53	69	6353
54	70	6333
55	71	6345
56	73	6339
57	74	6320
58	75	6320
59	76	6309
60	77	6306
61	79	6293
62	80	6286
63	81	6283
64	82	6280
65	84	6295
66	85	6279
67	86	6258
68	87	6251
69	88	6253
70	90	6250
71	91	6253
72	92	6226
73	93	6228
74	94	6237
75	96	6249
76	97	6257
77	99	6264
78	100	6247
79	101	6238
80	102	6220
81	103	6206
82	104	6212
83	105	6199
84	107	6199
85	108	6201
86	109	6206
87	111	6214
88	112	6215
89	113	6204
90	114	6191
91	115	6180
92	116	6172
93	118	6184
94	119	6174
95	120	6160
96	121	6144
97	122	6125
98	123	6128
99	124	6122
100	126	6114
101	127	6122
102	128	6127
103	130	6133
104	130	6093
105	131	6087
106	133	6090
107	134	6083
108	135	6097
109	137	6105
110	138	6097
111	139	6085
112	140	6091
113	142	6091
114	143	6098
115	144	6094
116	145	6087
117	147	6090
118	148	6090
119	149	6087
120	150	6078
121	152	6078
122	153	6076
123	154	6082
124	155	6074
125	157	6078
126	158	6075
127	158	6045
128	159	6039
129	161	6032
130	162	6023
131	163	6015
132	164	6005
133	165	5993
134	166	5995
135	167	5989
136	169	6000
137	170	5994
138	171	6006
139	172	6004
140	174	6000
141	175	5999
142	176	5997
143	177	5991
144	177	5957
145	178	5949
146	180	5945
147	181	5950
148	182	5947
149	183	5940
150	185	5948
151	186	5949
152	187	5953
153	189	5952
154	190	5949
155	191	5945
156	192	5945
157	194	5950
158	195	5946
159	196	5953
160	197	5947
161	198	5927
162	199	5928
163	200	5926
164	202	5926
165	203	5919
166	204	5918
167	205	5915
168	206	5915
169	208	5915
170	209	5909
171	210	5908
172	211	5908
173	213	5907
174	214	5905
175	215	5903
176	216	5901
177	217	5898
178	218	5898
179	220	5896
180	221	5894
181	222	5894
182	224	5896
183	225	5906
184	226	5899
185	228	5904
186	229	5901
187	230	5890
188	231	5888
189	232	5884
190	233	5889
191	235	5895
192	236	5893
193	237	5886
194	238	5889
195	240	5886
196	241	5888
197	242	5882
198	243	5882
199	245	5882
200	246	5876
201	247	5873
202	248	5869
203	249	5869
204	251	5871
205	252	5870
206	253	5868
207	254	5861
208	255	5861
209	257	5865
210	258	5862
211	259	5859
212	261	5866
213	261	5859
214	263	5860
215	264	5867
216	266	5864
217	267	5865
218	268	5865
219	269	5862
220	270	5860
221	272	5855
222	273	5851
223	274	5856
224	275	5856
225	277	5851
226	278	5849
227	279	5849
228	280	5846
229	282	5852
230	283	5849
231	284	5850
232	285	5849
233	287	5848
234	288	5843
235	289	5839
236	290	5836
237	291	5833
238	292	5833
239	293	5829
240	294	5825
241	296	5822
242	297	5817
243	298	5817
244	299	5816
245	300	5816
246	302	5817
247	303	5816
248	304	5813
249	305	5809
250	306	5808
251	308	5808
252	309	5807
253	310	5808
254	311	5803
255	312	5789
256	313	5790
257	315	5793
258	316	5794
259	317	5783
260	318	5779
261	319	5779
262	320	5778
263	322	5779
264	323	5779
265	324	5778
266	325	5778
267	327	5774
268	328	5774
269	329	5778
270	330	5774
271	332	5774
272	333	5773
273	334	5772
274	335	5770
275	337	5774
276	338	5774
277	340	5777
278	341	5778
279	342	5780
280	344	5778
281	345	5779
282	346	5776
283	347	5774
284	349	5775
285	350	5771
286	351	5771
287	352	5768
288	353	5770
289	355	5767
290	356	5763
291	357	5765
292	359	5772
293	360	5767
294	361	5771
295	363	5770
296	364	5769
297	365	5766
298	367	5772
299	368	5768
300	369	5773
301	371	5774
302	372	5770
303	373	5769
304	374	5766
305	375	5763
306	377	5763
307	378	5761
308	379	5761
309	380	5758
310	381	5755
311	382	5753
312	384	5752
313	385	5752
314	386	5752
315	388	5751
316	389	5749
317	390	5747
318	391	5744
319	392	5742
320	393	5740
321	395	5742
322	396	5740
323	397	5736
324	398	5733
325	399	5728
326	400	5730
327	402	5727
328	403	5723
329	404	5721
330	405	5720
331	406	5717
332	407	5716
333	408	5703
334	409	5700
335	410	5696
336	411	5695
337	412	5695
338	414	5695
339	415	5692
340	416	5688
341	417	5687
342	418	5686
343	420	5686
344	421	5682
345	422	5679
346	423	5676
347	424	5676
348	425	5673
349	427	5674
350	428	5677
351	429	5676
352	431	5673
353	432	5672
354	433	5668
355	434	5667
356	435	5665
357	436	5661
358	437	5657
359	438	5646
360	439	5644
361	440	5641
362	441	5645
363	443	5643
364	444	5639
365	445	5637
366	446	5633
367	447	5634
368	448	5634
369	450	5634
370	451	5634
371	452	5630
372	453	5631
373	455	5629
374	456	5627
375	457	5626
376	458	5624
377	460	5627
378	461	5625
379	462	5627
380	463	5624
381	465	5622
382	466	5620
383	467	5618
384	468	5617
385	469	5617
386	471	5615
387	471	5608
388	472	5606
389	474	5603
390	475	5602
391	476	5599
392	477	5597
393	478	5595
394	479	5595
395	481	5594
396	482	5595
397	483	5595
398	485	5594
399	486	5594
400	487	5593
401	488	5591
402	489	5588
403	491	5590
404	492	5586
405	493	5586
406	494	5585
407	496	5585
408	497	5582
409	498	5578
410	499	5578
411	500	5579
412	502	5580
413	503	5579
414	505	5579
415	506	5578
416	507	5575
417	508	5574
418	509	5572
419	510	5572
420	512	5572
421	513	5570
422	514	5570
423	515	5567
424	517	5566
425	518	5564
426	519	5564
427	520	5562
428	522	5566
429	523	5564
430	524	5561
431	526	5563
432	527	5560
433	528	5556
434	529	5557
435	530	5555
436	531	5552
437	532	5550
438	534	5549
439	535	5550
440	536	5550
441	537	5547
442	539	5546
443	540	5543
444	541	5540
445	542	5537
446	543	5535
447	544	5531
448	545	5529
449	546	5527
450	547	5525
451	549	5528
452	550	5523
453	551	5522
454	553	5524
455	554	5521
456	555	5520
457	556	5517
458	557	5515
459	558	5516
460	559	5513
461	561	5513
462	562	5512
463	563	5511
464	564	5508
465	566	5507
466	567	5506
467	568	5506
468	569	5504
469	570	5503
470	571	5500
471	573	5498
472	574	5496
473	575	5494
474	576	5491
475	577	5489
476	578	5489
477	580	5487
478	581	5485
479	582	5483
480	583	5480
481	584	5478
482	585	5477
483	586	5475
484	588	5475
485	589	5472
486	590	5470
487	591	5467
488	592	5465
489	593	5462
490	594	5460
491	595	5457
492	596	5457
493	598	5459
494	599	5455
495	600	5454
496	601	5452
497	602	5450
498	603	5447
499	604	5444
500	606	5442
501	607	5440
502	608	5437
503	609	5436
504	610	5433
505	611	5432
506	613	5433
507	614	5432
508	615	5431
509	616	5430
510	618	5430
511	619	5429
512	620	5427
513	621	5426
514	622	5425
515	623	5421
516	625	5419
517	626	5418
518	627	5417
519	628	5415
520	629	5415
521	631	5415
522	632	5414
523	633	5412
524	634	5411
525	636	5410
526	637	5409
527	638	5410
528	640	5409
529	640	5405
530	642	5404
531	643	5405
532	644	5403
533	645	5401
534	647	5401
535	648	5404
536	650	5405
537	651	5405
538	653	5405
539	654	5404
540	655	5404
541	657	5403
542	658	5405
543	659	5403
544	660	5400
545	661	5397
546	663	5398
547	664	5396
548	665	5395
549	666	5392
550	667	5389
551	668	5387
552	669	5387
553	671	5385
554	672	5384
555	673	5384
556	674	5382
557	676	5382
558	677	5382
559	678	5380
560	679	5378
561	681	5378
562	682	5377
563	683	5376
564	684	5374
565	685	5372
566	686	5370
567	688	5369
568	689	5367
569	690	5364
570	691	5362
571	692	5359
572	693	5357
573	694	5357
574	696	5356
575	697	5359
576	699	5358
577	700	5357
578	701	5355
579	702	5353
580	703	5352
581	704	5350
582	705	5347
583	707	5347
584	708	5345
585	709	5342
586	710	5344
587	712	5343
588	713	5342
589	714	5341
590	715	5340
591	717	5339
592	718	5337
593	719	5336
594	720	5334
595	721	5333
596	722	5331
597	723	5329
598	725	5327
599	726	5327
600	727	5325
601	729	5326
602	730	5325
603	731	5325
604	732	5323
605	733	5321
606	734	5319
607	736	5320
608	737	5318
609	738	5315
610	740	5315
611	741	5314
612	742	5311
613	743	5309
614	744	5308
615	745	5307
616	746	5305
617	747	5303
618	749	5301
619	750	5302
620	751	5301
621	752	5299
622	754	5297
623	755	5297
624	756	5296
625	757	5293
626	758	5291
627	759	5290
628	761	5288
629	762	5286
630	763	5284
631	764	5284
632	765	5282
633	767	5281
634	768	5280
635	769	5278
636	770	5277
637	771	5278
638	773	5276
639	774	5276
640	776	5278
641	777	5276
642	778	5276
643	779	5274
644	780	5271
645	781	5269
646	783	5271
647	784	5269
648	786	5269
649	787	5268
650	788	5266
651	789	5265
652	790	5263
653	791	5261
654	793	5260
655	794	5258
656	795	5257
657	796	5256
658	797	5255
659	799	5254
660	800	5253
661	801	5251
662	802	5250
663	803	5249
664	805	5248
665	806	5246
666	807	5245
667	808	5244
668	809	5243
669	811	5242
670	812	5242
671	813	5240
672	814	5239
673	816	5238
674	817	5236
675	818	5234
676	819	5232
677	820	5231
678	821	5230
679	823	5228
680	824	5228
681	825	5225
682	826	5225
683	828	5224
684	829	5222
685	830	5220
686	831	5221
687	832	5220
688	834	5220
689	835	5218
690	836	5217
691	838	5217
692	839	5215
693	840	5213
694	841	5211
695	842	5210
696	843	5209
697	845	5208
698	846	5206
699	847	5204
700	848	5201
701	849	5200
702	850	5198
703	851	5198
704	852	5196
705	853	5193
706	855	5194
707	856	5194
708	858	5192
709	859	5191
710	860	5189
711	861	5189
712	862	5188
713	864	5188
714	865	5188
715	866	5186
716	867	5184
717	869	5183
718	870	5181
719	871	5180
720	872	5179
721	873	5177
722	875	5176
723	876	5175
724	877	5174
725	878	5172
726	879	5172
727	881	5171
728	882	5169
729	883	5166
730	884	5166
731	885	5164
732	887	5163
733	888	5163
734	889	5161
735	890	5160
736	891	5158
737	893	5158
738	894	5157
739	895	5156
740	897	5155
741	898	5153
742	899	5151
743	900	5150
744	901	5150
745	903	5151
746	904	5149
747	905	5147
748	906	5147
749	908	5145
750	909	5143
751	910	5142
752	911	5141
753	912	5139
754	914	5139
755	915	5138
756	916	5137
757	917	5136
758	918	5134
759	919	5132
760	921	5130
761	922	5129
762	923	5127
763	924	5126
764	925	5124
765	926	5123
766	928	5122
767	929	5121
768	930	5120
769	931	5118
770	932	5117
771	934	5116
772	935	5115
773	936	5114
774	938	5115
775	939	5114
776	940	5114
777	942	5113
778	943	5112
779	944	5112
780	946	5110
781	947	5109
782	948	5108
783	949	5107
784	951	5107
785	952	5105
786	953	5105
787	954	5104
788	956	5105
789	957	5104
790	958	5102
791	959	5099
792	961	5100
793	962	5098
794	963	5097
795	965	5097
796	966	5095
797	967	5093
798	968	5093
799	969	5091
800	971	5090
801	972	5089
802	973	5088
803	975	5088
804	976	5087
805	977	5085
806	978	5084
807	979	5083
808	981	5082
809	982	5080
810	983	5080
811	984	5079
812	986	5079
813	987	5080
814	989	5079
815	990	5079
816	991	5078
817	993	5076
818	994	5077
819	995	5076
820	996	5074
821	998	5074
822	999	5075
823	1001	5073
824	1002	5072
825	1003	5070
826	1004	5068
827	1005	5067
828	1006	5066
829	1008	5065
830	1009	5066
831	1011	5066
832	1012	5065
833	1013	5064
834	1015	5065
835	1017	5065
836	1018	5065
837	1019	5065
838	1021	5063
839	1022	5065
840	1024	5065
841	1025	5065
842	1026	5063
843	1028	5062
