state,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ak,1260.3421987769605,1246.287816525513,1230.2992634797242,1237.074309673542,1251.5349641353423,1278.8990728030092,1418.3376989007854,1532.4111672685242,1625.3036527744614,1690.2035016391496,1859.6480870296646
al,849.467271277454,898.9952554262827,927.9383871599407,958.8480838986393,1000.5892774363062,1014.3838663366439,1121.8873012963322,1212.1493063428857,1245.9800272718871,1296.2254992318337,1345.127959431958
ar,776.910823835427,808.7103987144401,830.1402046427264,847.5722482119102,872.8470837645469,907.5018483318494,1000.8696597180027,1089.2778249007608,1128.487542757084,1121.3588312576414,1100.0504329287937
az,899.7804067276544,944.7573265666907,1003.1382074710419,1146.1467788959048,1214.54595625341,1293.556460478904,1405.8409482689697,1555.0890568288287,1604.3088771452378,1641.0522074969333,1664.819799660442
ca,1466.897305959694,1582.005616312405,1672.8449139169647,1763.9656136881572,1841.383782692519,1903.6431329399225,2050.7354655634745,2197.598767631097,2215.2899015482744,2275.455824830313,2302.2986339656945
co,1122.275381120921,1336.0941305889455,1409.32410090305,1489.842708572371,1568.8124846362048,1637.6887606098137,1796.4918645821933,2026.4262989793751,2133.113959542869,2327.8232005375326,2467.3611618831933
ct,1207.7836940034747,1236.8453676063873,1271.0607096911165,1311.2468790414387,1354.9032010676788,1432.9126494893458,1581.6300487579217,1746.3392118383854,1874.7289860348865,2008.432173650502,2108.9104614791636
de,1088.5271977102389,1113.4266225170804,1135.8117012237606,1170.8112436259844,1209.3847841918916,1267.0540433142446,1445.7547142212325,1592.5222660972922,1671.913185699304,1738.6164156452678,1798.8562762761017
fl,1077.9871800007802,1119.7041167395319,1210.3348897529477,1270.6778528894763,1342.3559364293503,1398.6236688882527,1613.2574780707089,1881.3496671813637,1910.5207652693798,1938.521007562459,1965.3981733008964
ga,907.0823121730461,913.9506231627898,924.7674726445694,968.545763236851,1018.7520076448121,1067.5532381957428,1195.79171526242,1366.0115538071345,1428.5577826535155,1475.343188141307,1457.8929362535093
hi,1999.5166615908402,2038.5707546405647,2080.99647543442,2118.1492415325297,2168.7816749120702,2192.645932028452,2299.8152883034018,2540.8785159449308,2682.303149873343,2854.2782294489966,2922.033132220581
ia,977.6194882828764,904.8462188723254,912.1582659399406,924.0387291179917,941.5780441621451,961.8508446289585,968.2266373795478,1014.518825719044,1067.3789437776366,1093.3336753093322,1028.8755316808797
id,789.8052401706097,835.0688970663082,939.3819967456037,1009.5750751953856,1082.547831095911,1169.1173320593068,1305.9661825748196,1358.8389692522398,1377.146540076724,1384.4866742148713,1603.8393928801524
il,881.2460063330021,861.9107263060775,842.1727889689085,860.1877737530546,886.9822170302972,915.6258718757755,972.1707127924305,1025.7836861094622,1073.9308580458035,1114.6134809057507,1090.6160625029636
in,807.0437904906348,827.3636393187811,787.6834235333447,833.5353747423146,869.6258409375338,907.6937390482761,951.1861909885624,1027.5178867950483,1091.1127575658115,1137.7636110616363,1095.956958141017
ks,815.3125570627805,849.6337883401883,801.4087776573581,818.6183998172003,838.9675146904025,866.4546451250869,912.7863069861478,989.6835330513716,1043.2180688760284,1100.8409531395957,1030.46435300625
ky,849.7012654455582,883.9344748676942,927.9755904084963,944.273769582157,915.5998049272789,901.2563386767428,965.4836719596262,1070.697569748684,1156.9797821567574,1207.8005391241652,1177.7395651981499
la,1055.7592011705765,1018.4608960672218,1040.3470252553893,1050.8888585293187,1056.9479075909687,1073.9262150737882,1129.809881642112,1148.2866767747591,1146.7681226390791,1176.3734083528802,1191.744722035462
ma,1383.1585283378365,1440.5369962073182,1497.2537567889349,1562.415203599314,1617.0470343817963,1700.9193133058607,1711.7854666833307,1892.4320385032613,2038.4785054156405,2145.6917599214694,2239.8286815304555
md,1130.8505382046262,1148.758853323517,1174.640110346819,1204.302045192115,1238.2444248440997,1289.3611361806995,1419.894369768165,1537.2891616800018,1411.9712251738192,1489.9004695285557,1663.0869464229736
me,1251.47639271999,1050.1669082992476,1033.393506870067,1080.4962254572754,1132.8662929367101,1209.0731292618545,1349.9046656900493,1458.363783481731,1543.2491164410862,1633.3678794937896,1710.6631306700688
mi,880.4671096546523,875.9586725751051,920.9735432163423,976.231129713083,1018.2186167043102,1060.188538512783,1104.1815990651155,1216.1027698035946,1237.7209460877227,1293.3987166801517,1349.276281654015
mn,976.5817815035206,1004.9909861344722,996.9344028060353,1026.1806356939803,1061.6768904915175,1090.7516866126355,1140.3421577492632,1156.363728910608,1125.176539044579,1191.5264028599133,1186.5122856309474
mo,801.5540972508277,822.140438390269,846.9632083255233,849.187583390683,882.2590934548314,922.7449346048354,955.3773884901909,1006.9350657203382,1004.5388554835837,1055.9632866023037,1098.654426245079
ms,818.5533056452605,927.5775837132367,945.779730094838,973.617065876969,1002.1066389058673,1050.832074964621,1134.8961899336284,1208.6139815780948,1273.8439966099359,1355.8167971009077,1362.0239806257077
mt,812.4770610343483,832.6293864531935,812.4858959621175,827.1928940051271,858.2175247522523,904.0016040494662,1238.4398317922175,1525.4132752501787,1513.58520689896,1565.9514613253468,1607.883331259005
