id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
7028128598,https://kpr.craigslist.org/apa/d/kennewick-kamiakin-apartments-has-1/7028128598.html,kennewick-pasco-richland,https://kpr.craigslist.org,765,apartment,560,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,https://images.craigslist.org/01414_3Vz3weHpxEn_600x450.jpg,"KAMIAKIN APARTMENTS 4711 W Metaline Ave  Kennewick WA 99336  show contact info   Call Jessenia or Bethany Today!! Se Habla Espanol  Check us out @ www.callushome.net  Office Hours  Monday-Friday 9:00am-5:00pm    Community Features  -Swimming Pool -On-Site Management -Large Open Play Areas -Fitness Room  -Laundry Facilities -Carports -Bilingual Staff -Small Pets Allowed -Garages Available -Public Transportation Stop Close By. -Easy Highway Access   Apartment Amenities  -Air Conditioning -Spacious Closets -Upgraded Kitchens -Garbage Disposals -Dishwasher -Extra Storage -Water, Sewer and Trash Included - Energy Efficient (LED) lighting  Schools  - Vista Elementary School - Highlands Middle School - Kamiakin High School",46.2196,-119.184,wa
7046697573,https://flint.craigslist.org/apa/d/grand-blanc-pawsitively-the-best/7046697573.html,flint,https://flint.craigslist.org,710,apartment,700,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,https://images.craigslist.org/00z0z_9sSNFUcYHxK_600x450.jpg,"Life isn't ruff at The Landings of Fountain Pointe! Visit the Fantastic community of Fountain Pointe and let us assist you in finding your new, perfect home! Stop by today or go online at www.fountainpointeapartments.com.  The Landings of Fountain Point Apartments is your ideal choice for a Grand Blanc apartment OR townhome. As a Resident of our community, you will have access to all these great Complex Amenities!  -Pet Friendly Environment, including 2-acre Dog Park with agility course! -Cable Ready Hook-Up -Luxurious Plush or Berber Carpetingt -Walk Out balcony with light for sitting outside at night -Central Air -Garbage Disposal -Frost-Free Refrigerator...brrr! -Self-Cleaning Oven -Outdoor Pool from May to September -Additonal Storage Unit in Building -Community WASH laundry on 1st floor -Community Clubhouse with Fully Equipped Kitchen, WiFi, Fitness Center and Games!  Call Today to schedule an appointment! Visit our website to begin your application today at www.fountainpointeapartments.com!  Don't wait, call us today!  Equal Housing Opportunity. Specials are based on availability and may expire or change at any time. Specials and discounts may not be combined. Rates are subject to change without notice",42.9435,-83.6072,mi
7048959806,https://tucson.craigslist.org/apa/d/tucson-come-look-and-lease-pool-with/7048959806.html,tucson,https://tucson.craigslist.org,862,apartment,712,1,1.0,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00R0R_3sdva1CD9OQ_600x450.jpg,"Camino De La Sierra has all the amenities in a great location! These amazing rental homes are nestled in the heart of Tucson's business, arts and historic Ft. Lowell districts. Call or visit us for leasing details!  Whether relaxing outdoors on your private patio, or spending time inside, this one-bedroom offers a spacious floor plan with 10-foot cathedral ceilings. It's large picture windows, luxurious and comfortable carpeting throughout the living room and bedroom with wood vinyl overlay in the dining, kitchen and bathroom areas all provide your ideal retreat. Storage is not an issue, with a wall-to-wall bedroom closet as well as linen and coat closets. These single story apartment homes ensure no noisy neighbors living above you, and the addition of block wall construction provides added privacy.   VIEW OUR WEBSITE:  http://www.caminodelasierra.com  Camino de la Sierra, managed by Northstar Management 2720 N Swan Road Tucson, AZ 85712  show contact info   Monday 9:00am - 6:00pm Tuesday 9:00am - 6:00pm Wednesday 9:00am - 6:00pm Thursday 9:00am - 6:00pm Friday 9:00am - 6:00pm    [#7002889]",32.2577,-110.892,az
7036401050,https://athensga.craigslist.org/apa/d/athens-internet-access-high-speed/7036401050.html,athens,https://athensga.craigslist.org,1095,apartment,1056,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/01111_9LriFeFWgvD_600x450.jpg,"Pet Friendly Apartments Athens GA Welcome to Serene at Northside, our pet friendly apartments in Athens, GA. Weâre conveniently located near downtown Athens, the University of Georgia, Athens Tech, and some of the areaâs most popular dining and shopping destinations. With the features, sizes, styles, and location you hope for in a floor plan, we invite you to discover more about our luxurious apartment community. Explore our website to see how we can be a good fit for each other and to find out how our community adds to your lifestyle of fun and productivity. Start by choosing among our two- and three-bedroom floor plans. Our community offers floor plans with walk-in closets and fully equipped kitchens. Ranging in size from 1,056 to 1,238 square feet, our selection of layouts is just one indication of how we provide you with the tools to build the home you envision yourself loving and thriving in. A spacious apartment is, of course, simply the starting point for enjoying a home. Our residents enjoy quality amenities including a full-sized washer and dryer, a private patio or balcony, high-speed internet, and on-site parking options. Looking for a nice balance between work and play? Serene at Northside offers a fitness center, a business center, a playground, and a clubhouse. Looking for a redefined living experience? View our photo gallery. Youâll find a collection of over 20 high-quality images, photos that capture the essence of what our apartment community is all about. Youâll see up-close details of our available floor plans, including features like wall-to-wall carpeting, wide counter space, hardwood flooring and more. We also encourage you to learn more about our location by visiting our Neighborhood and Directions page. We hope youâre ready to get to know Serene at Northside even better! Apply online today or contact us for a personal tour.  -Public Transportation -Online Payments Available -Package Receiving -Refrigerator -Air Conditioner -Short Term Lease -Internet Access: High Speed -Patio  Call:  show contact info",33.9761,-83.364,ga
7046736871,https://oklahomacity.craigslist.org/apa/d/edmond-january-free/7046736871.html,oklahoma city,https://oklahomacity.craigslist.org,819,apartment,873,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00b0b_hq12Z1gAhQF_600x450.jpg,"January Free!!!    Welcome to The Summit...one of the most prestigious communities in the Edmond/North OKC area. The Summit features great amenities and easy access to everywhere. Visit The Summit today and let us show you the lifestyle and service you deserve!   Apartment Features:  Air Conditioning  Cable Ready  Ceiling Fan(s)  Dishwasher  Hardwood Flooring  New/Renovated Interior  Oversized Closets  Stainless Steel/Black Appliances  Washer & Dryer Connections   Community Features:  Clubhouse  Emergency Maintenance  Fitness Center  High Speed Internet Access  Laundry Facility  Playground  Swimming Pool  Pet Friendly  Luxury Community  You can now text too! (same number)   Special Features:  Disability Access   Pets:  Pets Accepted  Weight restriction: 30  Deposit: $400, $15 pet rent   Additional Features:  Washer/dryer connections  8 unique floor plans to choose from  Sparkling swimming pool  Clubhouse  Fitness center  Cox digital community  Laundry center  Wood floor or plush carpet  Sleek black stoves and stainless refrigerators  Townhomes   Hours  Monday-Friday 8:30am-5:30pm  Saturday 10:00am-4:00pm   General Directions:  From Broadway Ext. (US 77), go north to 2nd Street. Turn left on 2nd and go 3 miles to Western Ave. We are located on the NW corner of Western and 178th (2nd).",35.6541,-97.5342,ok
7033565657,https://washingtondc.craigslist.org/mld/apa/d/lanham-includes-two-oversized-bathrooms/7033565657.html,"washington, DC",https://washingtondc.craigslist.org,1679,apartment,977,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00e0e_5IAOMzOFdEk_600x450.jpg,"Discover spacious and modern apartments with utilities included (except electric). Located in a tranquil, wooded setting in Lanham, Maryland, The Glendale Residence is convenient to shopping, dining, walking distance to Nasa and more. Schedule a tour to see everything that will make The Glendale Apartments your ideal home.  -Granite Texture Countertops, Floors and Appliances -Full-Sized Washer and Dryer in Every Apartment -Spacious 1, 2, and 3 bedroom Apartment Homes -Plush Wall-to-Wall Carpeting -Sunken Living Room -Olympic Style Swimming Pool -Separate Formal Dining Room -Pantry in Kitchen -Luxurious Bathroom Vanity with Contemporary Lighting -Ample Windows for Natural Light -Stylish Vertical and Mini-Blinds Throughout -High-Speed Internet and Cable available  Call:  show contact info   Pricing and availability are subject to change",38.9675,-76.8551,dc
7047159316,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-game-room-tv-poolside-bar/7047159316.html,minneapolis / st paul,https://minneapolis.craigslist.org,1119,apartment,700,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00606_5fvlpXpHa3N_600x450.jpg,"Welcome to Concierge Apartments. Here, we pride ourselves on providing a new standard of apartment homes in a fantastic location. Take an inspired look at all Concierge has to offer with our world-class amenities along with our luxury style apartment homes. Explore the property and youâll find a resort-style pool (think Vegas style) and private on-site tennis and volleyball courts. Then walk through the acres of our beautiful tree-lined landscaping over to our new clubroom where you can take on friends or make new ones over a game of pool, foosball, ping-pong, or shuffleboard.  Discover all that our Richfield luxury apartments have to offer by scheduling a tour or contact our leasing staff today! With premium finishes and wide-open spaces, each floor plan from Concierge brings you unparalleled luxury without sacrificing on comfort.  This 700 square foot apartment is complete with a gourmet kitchen featuring granite countertops, stainless steel appliances, and espresso cabinets. Chestnut wood flooring completes the living room and kitchen, while the bedroom features new and plush carpet. The apartment has 5 closets, extra storage space, and a dining area next to the kitchen. This is an ideal layout with all the unit space ideally utilized.  -Stainless Steel Microwave -Poolside Bar -10,000 Square Foot Dog Park -Billiards Table -Resort Style Pool & Cabanas -New Plush Carpeting -Smoothie Machine -Bike Slide to Bike Storage Room -Breakfast Nook -Courtyard Views -Corner Units -Pizza Ovens  Call:  show contact info   For more information, visit us at: livewithjrk.com/Concierge",44.8651,-93.3087,mn
7025282659,https://albany.craigslist.org/apa/d/troy-spacious-1-bed-1-bath-sunnyside/7025282659.html,albany,https://albany.craigslist.org,825,apartment,621,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00u0u_dcSHmmGo86l_600x450.jpg,"This community offers residents spacious floor plans in a convenient location. Each apartment features central air, forced hot air heat, hardwood style flooring, an electric stove and refrigerator. The building is smoke free, handicap accessible, and is not pet friendly. Off street parking, an indoor mail room, and on site laundry facilities are some additional amenities.   Professional Property Management, On-Site Maintenance, 24/7 Emergency Maintenance.   Included in Rent: Water, Sewer, Trash Removal, Snow Removal Not Included: Gas, Electric, Cable, Internet",42.7499,-73.6773,ny
7024092996,https://boise.craigslist.org/apa/d/boise-sign-lease-today-private-room-all/7024092996.html,boise,https://boise.craigslist.org,539,apartment,1064,4,2.0,0,0,1,0,0,1,laundry on site,off-street parking,https://images.craigslist.org/00Q0Q_bWKTUlZk9iQ_600x450.jpg,"Come experience the joys of our all-inclusive, fully furnished living at The 208. Convenient Location, Newly Renovated, and close to Ann Morrison Park. Schedule your tour today with our top rated staff!  This fully remodeled four bedroom apartment features brightly designed interior and private patio or balcony.  Price is all inclusive of utilities and includes a basic furniture package! This apartment requires a $$100 deposit.  VIEW OUR WEBSITE:  http://www.The208Apts.com  The 208, managed by Elevate Multi Family 989 Sherwood Avenue, Suite 106 Boise, ID 83706  show contact info   Apartment Features * Window Coverings * Breakfast Bar * Pantry * Central Heat and Air * Air Conditioning * Refrigerator, Microwave, Dishwasher & Gas Stove * Vertical Blinds * Free Internet * Roommate Friendly Floor Plan * Fully Furnished * Furnished or Unfurnished * Private Patio * Disposal * Free Wireless * Private Balcony    [#6861073]",43.6068,-116.214,id
7041443527,https://boston.craigslist.org/sob/apa/d/braintree-luxury-braintree-upper-floor/7041443527.html,boston,https://boston.craigslist.org,2485,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00f0f_57HMcXc2yr1_600x450.jpg,"**Luxury Braintree Upper Floor 2 Bed. Walk to Train. NO Broker Fee & $1000 Sec Deposit** Wooden Floors, Modern Kitchen, In Unit Laundry. Rent Incudes use of Fitness Center, Pool, Resident Lounge & Grilling/Patio area. Garage Parking Available.   ***Available NOW for 14 Month Lease with 2 Months FREE!  ***Contact Dennis Cotter @ 617-943-6667*** NO Broker Fee.  2 Bed  2 Bath 1000 Sq Ft Dogs Under 40lbs Cat Ok Walk to Commuter Rail Drive to Redline Convenient to Quincy, Weymouth, Downtown Boston.  Listed By: Dennis Cotter / Licensed Broker Minuteman Real Estate Brokerage Quincy, MA  http://www.minutemanrealestate.com",42.2093,-70.9963,ma
7050378028,https://reno.craigslist.org/apa/d/reno-3bd-2ba-online-resident-portal/7050378028.html,reno / tahoe,https://reno.craigslist.org,1845,apartment,1501,3,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00V0V_gMbUZXgRMiN_600x450.jpg,"3BD | 2BA | 1501SQFTIn addition to attractive, comfortable apartments, Village at Iron Blossom combines all that Reno has to offer in one well-rounded community. We feature spacious one, two, and three bedroom oversized apartment homes where you'll find the style that matches the look and life you desire. (+more) Take advantage of endless workout options in our state of the art 24-hour fitness center including a yoga studio, indoor racquetball court, weight training equipment, cardio machines, and a private tanning room. Our social community offers the Instagram-worthy gathering areas you crave with the resort-style feel you deserve. Our four swimming pools and two indoor spas offer a stunning backdrop to the lifestyle we want for our residents: Cool, fun, vibrant, and bold! Our apartments are spacious, yet cozy; eye-catching, but comfortable. Find your ideal home for rent in Reno, NV, where the perfect setting for your next party is combined with a relaxing space for your everyday. You will enjoy features like energy efficient appliances, wood burning fireplaces and triple pane energy efficient windows to bring quality to your everyday life. Step inside Village at Iron Blossom, tucked just off Interstate 580 in growing South Reno, to get an idea of living in our pet-friendly apartment community. When living in the beautiful South Reno, the hardest decision you'll make is where to enjoy on your day off. With an abundance recreation offered at nearby Lake Tahoe and the Truckee River. Enjoy being minutes from all that's possible in Reno, such as an Aces Baseball game but also conveniently close to Renown Hospital Medical Center, and less than 15 miles from UNR. Take a look at our photogallery and schedule your appointment, or drop by and visit us for your personal tour today. Spacious Reno, Nevada ApartmentsAmenities Include:Online Resident Portal for rental payments and maintenance requests,Washer / DryerEnergy Efficient AppliancesAir ConditioningEnhanced 24 Hour Fitness Center34 Laundry FacilitiesYoga StudioWalk-in ClosetsDishwasherStorage RoomPicnic and BBQ Areas with Horse-Shoe pitsFurnished Homes AvailableCall:  show contact info Equal Housing OpportunityPrices Change DailyFlexible Lease Terms",39.4572,-119.776,nv
7045999227,https://bend.craigslist.org/apa/d/bend-accepting-applications-for-2/7045999227.html,bend,https://bend.craigslist.org,1375,apartment,990,2,2.0,0,1,0,0,0,0,w/d in unit,carport,https://images.craigslist.org/00b0b_2G2uOsqQ7WK_600x450.jpg,"2 bed 2 bath, with All Appliances Even a Washer & Dryer in each unit.  990 square feet with spacious floor plan, Patio/Deck with storage. Fresh and Ready for occupancy, and that is YOU!!!!!  Rents for our upstairs are $1300 per mo and our Downstairs are $1375 per mo. Each unit pays the same a $45 charge for Water/Sewer and Garbage. (We are a NON SMOKING/VAPING PROPERTY)  At the present time we are offering a move-in special  Security Deposit of $500 or $750 (upon screening/application results) as well as $200 Off of Your First Full Months Rent We do require a Application Fee of $50 per each applicant 18 yrs and older We are a Pet Friendly Property (meaning) 1 Dog, 35 lbs Max/No Aggressive breeds (Sorry No Cats) There is a Pet Deposit of $500 plus a monthly pet fee of $20   If your seeking to relocate, Give us a call Today as these Units will not last long. Call us at  show contact info  Hope to Hear from you soon, and Happy New Year from Us to You and Yours!!!  Sage Springs Apartments  show contact info",44.0928,-121.294,or
7015743156,https://bakersfield.craigslist.org/apa/d/bakersfield-move-in-special-795-now/7015743156.html,bakersfield,https://bakersfield.craigslist.org,795,apartment,886,2,1.0,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00X0X_bdDpsVKyvz2_600x450.jpg,"Pacific Pines Apartments   Community in Bakersfield, CA Post Generated: Sept. 24, 2018    Call Now:  show contact info    2 Bedrooms / 1.0 Bath 866 sq. ft.      Rent: $795  Deposit: $600   Address:      3901 Q Street      | Bakersfield, CA, 93301   Link to Website: http://www.pacificpinesbakersfield.com/floorplans/#/2-bed-1-bath-985  Office Hours: Mon-Fri: 8:00 AM-5:00 PMSat: 10:00 AM-2:00 PMSun: Closed       This Apartment Features:                            Cable Ready                                    Central Air Conditioning and Heating                                    Covered Parking                                    Horizontal Blinds                                    Pantry                                    Tile Floors                        Community Description: Pacific Pines Apartments is located in  Bakersfield, California. Our 2 bedroom apartments feature a pantry, tile floors, and horizontal blinds. Our gated community features laundry facilities, courtesy patrol, covered parking, and two pools.          Community Amenities          24-Hour Courtesy Patrol          Access to Public Transportation          Beautiful Landscaping          Cable Available          Covered Parking          Easy Access to Freeways and Shopping          Gated Access          Guest Parking          Laundry Facilities          On-site Maintenance          Two Shimmering Swimming Pools             Apartment Features          Cable Ready          Central Air Conditioning and Heating          Horizontal Blinds          Pantry          Tile Floors           About this posting: 2 Bedrooms / 1.0 Bath Apartment, 866 sq. ft., Rent: $795, Deposit: $600  All prices subject to change.   For more information please visit the link below. https://gsfproperties.appfolio.com/listings/detail/c6108eec-ef1b-40a3-a928-6184d9ca3b75  https://www.pacificpinesbakersfield.com/",35.3866,-119.017,ca
7049281416,https://tampa.craigslist.org/hil/apa/d/tampa-move-in-today-get-500-off/7049281416.html,tampa bay area,https://tampa.craigslist.org,1389,apartment,1016,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00N0N_kCwV7nP8CwV_600x450.jpg,"To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description  Details Availability date: March 17, 2020 Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Breed Restrictions Apply Max 3 Pets One Pet Fee - $400 Two Pet Fee - $600 Thre Pet Fee - $800 Monthly Pet Rent - $15 per pet Deposit: $100 with approved credit Leasing options: 9 months,9+ months,12 months,12+ months Leasing notes: 7 - 15 month lease options available. Application fee: $55 Amenities Included in Utilities Cost: None Utilities Cost: Electric sub metered & water sub metered Laundry: In Unit Parking type: Off-Street, Unassigned parking lot  Parking notes: No additional monthly cost Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven, Full whirlpool appliance package Exterior: Balcony/patio, Pond Heating/cooling: Central AC Wiring: Cable-ready, High-speed internet Facilities and Recreation: Shared pool, Fitness center, Clubhouse, Playground, Barbecue, Business center Security and Access: Elevator Views: Pond, Pool, Wooded Additional features: Hardwood floor, Granite countertop Offered by: Canopy at Citrus Park  Equal Housing Opportunity",28.0726,-82.559,fl
7046755710,https://eastnc.craigslist.org/apa/d/new-bern-fireplace-wifi-at-clubhouse/7046755710.html,eastern NC,https://eastnc.craigslist.org,925,apartment,753,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/01212_kAWgeRGyPRC_600x450.jpg,"Woodland Crossing Apartment Community invites you to see why we are considered the best of luxury apartment living in New Bern, North Carolina. Woodland Crossing is located in a quaint neighborhood, just moments from historical downtown New Bern, shopping, entertainment, and the business district. We are located less than 2 miles from Craven Medical Center and just 20 minutes from Cherry Point Marine Corps Air Station. Woodland Crossing offers spacious 1,2, and 3 bedroom floor plans. All of our apartment homes feature fully-equipped gourmet kitchens with beautiful oak cabinetry, washer and dryer connections, and ample closet space. Our resort-style amenity package includes a pool pavilion with sundeck and free WiFi, lighted tennis courts, fenced-in playground, picnic areas with grills, car wash center, laundry center, pet park, fully-equipped fitness center and business center. Schedule your visit today!  -Washer and dryer connections -Clothing care center -Handicap accessible -Oak cabinetry -Sundeck -Apply online 24/7 -Air conditioning and heat -Updater moving partner -24-hour fitness center -Storage space -Lighted tennis court -Scenic view  Call:  show contact info   Licensed Entity Thomas L. Bisanz  *Equal housing opportunity*",35.1079,-77.0809,nc
7048575355,https://fargo.craigslist.org/apa/d/mayville-great-1-bed-in-mayville-new/7048575355.html,fargo / moorhead,https://fargo.craigslist.org,459,apartment,522,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00c0c_fjpnvExCFjg_600x450.jpg,"Getting the BEST BANG FOR YOUR BUCK in Mayville! Beautiful 1 bedroom apartments available for only $459! Available Now!  Check out these great amenities:  + Light Up Your Life! Large Living Room Windows to Bring In Lots of Natural Light! + 24/7, Clean Laundry Room in Building  + Just feet away from Mayville State! + Keep it Eco-Friendly - Use the Bike Rack + Off-street Parking + Yard for BBQ's or Frisbee  + Beautiful Brick Building  + Air Conditioning During Those Hot Months! + Residents pay heat and electricity + Have pets? Bring them along! - No Pet Deposit!  .....AND Forget about writing out another rent check. You can pay online! Never worry about late rent again.  Smoke-free Buildings.   Come Live ""Prolific""! If this sounds like the place for you, we're waiting for your phone call, text message or email! Reach out to us at  show contact info  EXT 2 (Mindy) or contact us through our website at www.liveprolific.com. We can't wait to hear from you!",47.503,-97.3251,mn
7035150082,https://texoma.craigslist.org/apa/d/sherman-christmas-special-move-in-plus/7035150082.html,texoma,https://texoma.craigslist.org,1400,apartment,1213,3,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00Q0Q_hSQEgXRYDWw_600x450.jpg,"Northside On Travis  show contact info  5111 N Travis St Sherman, TX 75092 www.northsideontravis.com  A luxurious apartment community! Quality living awaits you at our pet friendly community.   Give us a call or stop by today to have one of our friendly staff reserve your one, two, or even three bedroom apartment home at this wonderful location!   At Northside, our apartments are designed with black on black appliances, large walk in closets, and garden style tubs. You can also enjoy the convince of our 24 hour work out facility or you can lounge out by the pool, open all year long.   We are perfectly located at 5111 N Travis St, Sherman TX 75092. Living at this location will give you the perfect access to shopping and entertainment.   For more information or to schedule a tour please call us at  show contact info   www.Northsideontravis.com Northside on Travis St  5111 N Travis St  Sherman Tx, 75092  Professionally managed by Sunridge Management Group. Equal Housing Opportunity",33.6839,-96.6216,ok
7028920255,https://maine.craigslist.org/apa/d/york-york-maine-townhome-available/7028920255.html,maine,https://maine.craigslist.org,1750,townhouse,1350,2,1.5,1,0,0,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/01414_9STM1Co1uPk_600x450.jpg,"RARE York Year-Round rental!   Please text for fastest response and follow up with email.   A very cozy 1300+ sq. ft. ""swiss chalet"" town-home with original wood beam ceilings in a highly sought after York Maine setting, less than 2 miles from the ocean awaits you! Must be a responsible, professional, clean and friendly tenant to lease this quaint town-home in highly desirable and sought after York, Maine. The property is located on Route 1 just one mile to I-95. It's an incredible place to live for those who need an easy travel route between Mass, NH and Maine or simply enjoy being outside the city and near the coast! Spend your summers playing tennis at our on site tennis court or enjoy the private swimming pool, designated for town home residents only! You will also enjoy a 20 minute bike ride to long sands beach, to the town of York center and to the beautiful Nubble lighthouse.   Individual(s) MUST be employed and sign a 12-month lease agreement with a 1-month downpayment ($1,750) as a security deposit, which is refundable upon move-out. A dog (only one allowed) or two cats are allowed by approval and $500 non-refundable deposit.  Amenities include:  - 1 and 1/2 baths   - Attached garage  - Living Room, Dining Room, Kitchen (Modern open concept)   - Pergo wood floors on first floor   - New linen cabinet over the laundry area   - Dishwasher   - New stove  - Full private garage for storage of personal items   This place will make you feel at home during all seasons.   If you are interested, please contact me directly to discuss the place and next steps.  ****************************************************************************************************************   For faster response, please call.  Serious inquiries only. Thank you!  ****************************************************************************************************************",43.1544,-70.6578,me
7039365611,https://houston.craigslist.org/apa/d/houston-free-til-2020-give-us-call-asap/7039365611.html,houston,https://houston.craigslist.org,815,apartment,562,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00E0E_UJql9Uy7q5_600x450.jpg,"At Champion Oaks Apartment Homes you can stroll the beautiful wooded grounds and enjoy our distinctive blend of community, quiet and convenience. We are located just off 1960, moments from the Willowbrook area, where you can enjoy premiere shopping, dinning and entertainment. Our area schools include: Mittelstadt Elementary, Wunderlich Intermediate School and Klein Forest High School. Stop by today and find out why Champion Oaks Apartment Homes is the only stop you need to make in your new home search!  -Vaulted Ceilings -Private Patios -Relaxing Pool -Intricate Crown Molding -Oversized Closets -Moments from Shopping, Dining & Entertainment -Picnic and Grilling Area -Superior Customer Service -Abundant Additional Storage -Bay Windows  Call  show contact info  www.ChampionOaksLiving.com  *Pricing and availability subject to change.",29.9855,-95.5062,tx
7046720671,https://smd.craigslist.org/apa/d/temple-hills-lease-today-ideal-temple/7046720671.html,southern maryland,https://smd.craigslist.org,1085,apartment,660,1,1.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/01313_9qP0avoRM9H_600x450.jpg,"Princeton Estates Apartment Homes, managed by Morgan Properties 4637 Dallas Place Temple Hills, MD 20745  show contact info   VIEW OUR WEBSITE:  http://www.morganproperties.com/princetonestates  Princeton Estates, an apartment rental community in Temple Hills, Maryland, has one, two and three bedroom apartments.  This one bedroom one bathroom apartment features a large balcony area.   Monday 9:00am - 6:00pm Tuesday 9:00am - 6:00pm Wednesday 9:00am - 6:00pm Thursday 9:00am - 6:00pm Friday 9:00am - 6:00pm Saturday 10:00am - 6:00pm Sunday 12:00pm - 5:00pm  Apartment Features * Alarm Activation Available * Washer and Dryer in unit * Breakfast Bar * Central Heat and Air * Dishwasher * Pre-wired for internet and cable    [#6988159]",38.8266,-76.9492,md
7036516247,https://hudsonvalley.craigslist.org/apa/d/warwick-liberty-green/7036516247.html,hudson valley,https://hudsonvalley.craigslist.org,929,apartment,700,1,1.0,1,1,0,1,0,0,laundry on site,off-street parking,https://images.craigslist.org/00x0x_irVbZaTEEOw_600x450.jpg,"55+ HOUSING CRAIGSLIST: Liberty Green Senior Housing is designed for affordability. An upbeat complex for veterans or independent 55+ individuals, offering 1-bedroom units. This is a smoke-free and pet friendly community. Rents range from $390.00 â $929.00. Income restrictions apply. Amenities Include â  Hot Water   -On site management -Key FOB Security System -24/7 Emergency Maintenance -Ground Floor Laundry Facilities -Community Room with Full Kitchen  For more excellence in affordability visit our website at www.devonmgt.com or contact the office  show contact info .",41.2628,-74.3659,ny
7049285436,https://macon.craigslist.org/apa/d/macon-best-homes-in-macon/7049285436.html,macon / warner robins,https://macon.craigslist.org,695,apartment,1050,2,1.0,1,1,1,0,0,0,w/d hookups,,https://images.craigslist.org/00Y0Y_ccg9hP8BdHJ_600x450.jpg,"Retreat at Ragan Parkâs one, two, and three bedroom apartments and townhomes will bring simplicity and convenience to your life. Youâll love preparing meals in your updated kitchen, complete with all-black appliances and new countertops. Enjoy stylish features like handsome wood-style flooring and brushed-nickel finishes, plush carpeting, and spacious closets. Take advantage of the washer and dryer connections to make laundry day simpler than ever. At Retreat at Ragan Park, we make it easy to love where you live. Please view below just SOME of our amazing amenities .  â¢	Hardwood Style-Vinyl â¢	Washer & Dryer Connections â¢	Air Conditioning â¢	Ceiling Fans â¢	Dishwasher â¢	Energy-Efficient Appliances â¢	High Speed Internet Access â¢	Private Balcony or Patio â¢	Refrigerator â¢	Newly Renovated Homes â¢	All-Black Appliances â¢	New Countertops â¢	Brushed-Nickel Finishes â¢	Swimming Pool â¢	Serene Lake Views â¢	Stocked Lake for Fishing â¢	Ballroom and Clubhouse Available to Rent â¢	Close to Lakeside Park â¢	Online Rental Payments â¢	Onsite Management â¢	24-Hour Emergency Maintenance  Schedule a visit to see all that our one and two bedroom apartments for rent in Macon, GA, have to offer. We look forward to hearing from you.  Retreat at Ragan Park  show contact info  2800 Masseyville Road Macon, GA 31217  https://www.raganpark.com/",32.8511,-83.567,ga
