state,2020,2021,2022,2023,2024,2025
ak,1278.8990728030092,1418.3376989007854,1532.4111672685242,1625.3036527744614,1690.2035016391496,1859.6480870296646
al,1014.3838663366439,1121.8873012963322,1212.1493063428857,1245.9800272718871,1296.2254992318337,1345.127959431958
ar,907.5018483318494,1000.8696597180027,1089.2778249007608,1128.487542757084,1121.3588312576414,1100.0504329287937
az,1293.556460478904,1405.8409482689697,1555.0890568288287,1604.3088771452378,1641.0522074969333,1664.819799660442
ca,1903.6431329399225,2050.7354655634745,2197.598767631097,2215.2899015482744,2275.455824830313,2302.2986339656945
co,1637.6887606098137,1796.4918645821933,2026.4262989793751,2133.113959542869,2327.8232005375326,2467.3611618831933
ct,1432.9126494893458,1581.6300487579217,1746.3392118383854,1874.7289860348865,2008.432173650502,2108.9104614791636
de,1267.0540433142446,1445.7547142212325,1592.5222660972922,1671.913185699304,1738.6164156452678,1798.8562762761017
fl,1398.6236688882527,1613.2574780707089,1881.3496671813637,1910.5207652693798,1938.521007562459,1965.3981733008964
ga,1067.5532381957428,1195.79171526242,1366.0115538071345,1428.5577826535155,1475.343188141307,1457.8929362535093
hi,2192.645932028452,2299.8152883034018,2540.8785159449308,2682.303149873343,2854.2782294489966,2922.033132220581
ia,961.8508446289585,968.2266373795478,1014.518825719044,1067.3789437776366,1093.3336753093322,1028.8755316808797
id,1169.1173320593068,1305.9661825748196,1358.8389692522398,1377.146540076724,1384.4866742148713,1603.8393928801524
il,915.6258718757755,972.1707127924305,1025.7836861094622,1073.9308580458035,1114.6134809057507,1090.6160625029636
in,907.6937390482761,951.1861909885624,1027.5178867950483,1091.1127575658115,1137.7636110616363,1095.956958141017
ks,866.4546451250869,912.7863069861478,989.6835330513716,1043.2180688760284,1100.8409531395957,1030.46435300625
ky,901.2563386767428,965.4836719596262,1070.697569748684,1156.9797821567574,1207.8005391241652,1177.7395651981499
la,1073.9262150737882,1129.809881642112,1148.2866767747591,1146.7681226390791,1176.3734083528802,1191.744722035462
ma,1700.9193133058607,1711.7854666833307,1892.4320385032613,2038.4785054156405,2145.6917599214694,2239.8286815304555
md,1289.3611361806995,1419.894369768165,1537.2891616800018,1411.9712251738192,1489.9004695285557,1663.0869464229736
me,1209.0731292618545,1349.9046656900493,1458.363783481731,1543.2491164410862,1633.3678794937896,1710.6631306700688
mi,1060.188538512783,1104.1815990651155,1216.1027698035946,1237.7209460877227,1293.3987166801517,1349.276281654015
mn,1090.7516866126355,1140.3421577492632,1156.363728910608,1125.176539044579,1191.5264028599133,1186.5122856309474
mo,922.7449346048354,955.3773884901909,1006.9350657203382,1004.5388554835837,1055.9632866023037,1098.654426245079
ms,1050.832074964621,1134.8961899336284,1208.6139815780948,1273.8439966099359,1355.8167971009077,1362.0239806257077
mt,904.0016040494662,1238.4398317922175,1525.4132752501787,1513.58520689896,1565.9514613253468,1607.883331259005
nc,1156.4525987909124,1287.3804608199027,1422.5673870551836,1454.0558391096315,1483.9374477623185,1505.7290370230637
nd,913.8102613535065,942.9732835148642,999.3160279177837,1089.6186815418762,1115.049988401288,1173.5673063020497
ne,982.3579438605127,928.1276738674179,1002.4847144583838,1070.81677684887,1187.0028819170611,1207.8667525857945
nh,1357.9451987457783,1500.3725752555415,1646.6173410395274,1759.5404617337058,1859.9972542578937,1940.2470764852144
nj,1491.6128235275842,1655.8418372120364,1894.3014288950067,1913.537567703497,2002.566289560825,2032.080355924536
nm,1156.417592147294,1292.9476407660075,1324.2354317799375,1300.652577797386,1628.7552502199221,1720.7463627556785
nv,1401.5148658549945,1549.606409169105,1626.1627122598995,1754.3929603016607,1762.7192239735418,1754.0512630797475
ny,1395.7940949981703,1465.7819829665318,1611.9095412204722,1659.874710667618,1596.6342146856014,1577.6507651581974
oh,897.8200544961064,968.5132226231251,1020.5749566322299,1049.0506354575414,1095.8912834544406,1159.715008426352
ok,943.2089708655965,1019.4820886735281,1017.2798646364151,1055.7730577187722,1132.4196740065381,1110.2171615336931
or,1392.4675504602192,1512.2930492472055,1556.9277999866304,1603.496604459827,1592.0411995601419,1679.0556270470356
pa,1035.3990513740885,1120.5876926040708,1200.7888610578195,1188.1205455110855,1228.7341201637873,1236.1984872749795
ri,1446.6799053328834,1607.1240031895911,1795.5881748609017,1927.3615776294757,2050.7689031422783,2153.2563308836984
sc,1154.3140302665684,1275.9908145313116,1429.5449679648739,1470.1179475970905,1469.9434367064619,1525.5553662530065
sd,967.9237736062789,1059.542977322682,1135.8518402643497,1173.1053251683513,1225.8453044927012,1221.9877361905249
tn,1087.7131868459003,1165.841753784387,1304.3716920290722,1353.1455587610724,1414.0939660428965,1436.9893800540758
tx,1128.8806308997873,1194.5233529092802,1306.0445568804353,1340.1046687517728,1345.1055860175197,1387.155850213606
ut,1511.9274234739587,1741.9145224205804,1780.7530780123932,1821.2047512126233,1857.3160871252853,1830.968396811701
va,1233.1222868596437,1332.4937550245845,1476.9372882201826,1437.2798424507635,1511.4811359804808,1514.3355425630662
vt,1870.692710860434,1996.0108890049894,2228.594500682237,2396.7478786224838,1965.3239159228206,1746.194836500601
wa,1437.4616262848558,1592.96351732796,1567.1556245105794,1618.9774233317792,1679.8368591089109,1729.8109492905378
wi,1045.1205847261895,1098.8903096319884,1063.0571167001603,1134.7995245914963,1153.6028438393676,1182.625590646574
wv,985.1662529082632,959.5058146470275,1016.3177151577939,979.301833580874,1006.9587100538992,1064.0772879509734
wy,962.1934353990765,1004.5056381837863,1093.6210376771564,1181.3333710446623,1515.7967099423,1566.4685012079783
